PC_NAME,HOUR,x,CPU_PERCENTAGE,MEMORY,MEMORY_PERCENTAGE
HOM102603,22:08:10,58,13,2407,15
HOM102603,22:08:13,05,4,2405,15
HOM102603,22:08:16,13,2,2406,15
HOM102603,22:08:19,20,2,2405,15
HOM102603,22:08:22,14,16,2417,15
HOM102603,22:08:25,11,2,2420,15
HOM102603,22:08:28,02,2,2420,15
HOM102603,22:08:31,06,2,2422,15
HOM102603,22:08:33,95,4,2422,15
HOM102603,22:08:36,93,2,2412,15
HOM102603,22:08:40,00,4,2413,15
HOM102603,22:08:43,07,0,2413,15
HOM102603,22:08:46,01,14,2415,15
HOM102603,22:08:49,07,13,2427,15
HOM102603,22:08:52,12,19,2441,15
HOM102603,22:08:54,93,16,2467,16
HOM102603,22:08:57,32,27,2481,16
HOM102603,22:09:00,21,0,2479,16
HOM102603,22:09:03,07,14,2480,16
HOM102603,22:09:06,05,2,2478,16
HOM102603,22:09:09,16,5,2478,16
HOM102603,22:09:12,04,2,2478,16
HOM102603,22:09:15,30,17,2478,16
HOM102603,22:09:18,02,0,2478,16
HOM102603,22:09:21,08,5,2479,16
HOM102603,22:09:24,03,4,2479,16
HOM102603,22:09:27,10,2,2479,16
HOM102603,22:09:30,20,11,2481,16
HOM102603,22:09:33,00,8,2500,16
HOM102603,22:09:36,05,24,2506,16
HOM102603,22:09:39,05,2,2499,16
HOM102603,22:09:42,14,0,2499,16
HOM102603,22:09:45,12,2,2500,16
HOM102603,22:09:48,22,2,2499,16
HOM102603,22:09:51,03,0,2499,16
HOM102603,22:09:54,12,2,2500,16
HOM102603,22:09:57,10,2,2500,16
HOM102603,22:10:00,15,2,2500,16
HOM102603,22:10:03,15,5,2500,16
HOM102603,22:10:06,18,2,2499,16
HOM102603,22:10:09,05,4,2499,16
HOM102603,22:10:12,16,0,2499,16
HOM102603,22:10:15,07,0,2500,16
HOM102603,22:10:18,01,10,2500,16
HOM102603,22:10:21,10,2,2502,16
HOM102603,22:10:24,26,74,2571,16
HOM102603,22:10:27,07,42,2601,16
HOM102603,22:10:30,12,24,2599,16
HOM102603,22:10:33,06,16,2595,16
HOM102603,22:10:36,45,30,2600,16
HOM102603,22:10:39,09,30,2604,16
HOM102603,22:10:42,11,4,2598,16
HOM102603,22:10:45,09,4,2598,16
HOM102603,22:10:48,03,28,2631,17
HOM102603,22:10:51,03,8,2635,17
HOM102603,22:10:54,07,7,2632,17
HOM102603,22:10:57,03,13,2632,17
HOM102603,22:11:00,09,7,2632,17
HOM102603,22:11:03,03,5,2633,17
HOM102603,22:11:06,09,10,2631,17
HOM102603,22:11:09,04,16,2611,16
HOM102603,22:11:12,10,17,2607,16
HOM102603,22:11:15,13,50,2781,18
HOM102603,22:11:18,07,16,2781,18
HOM102603,22:11:20,99,14,2780,18
HOM102603,22:11:24,02,8,2776,18
HOM102603,22:11:27,04,10,2775,18
HOM102603,22:11:30,07,11,2775,18
HOM102603,22:11:33,00,4,2774,18
HOM102603,22:11:35,99,4,2776,18
HOM102603,22:11:38,99,10,2771,18
HOM102603,22:11:42,02,10,2766,18
HOM102603,22:11:45,02,13,2766,18
HOM102603,22:11:48,05,2,2765,18
HOM102603,22:11:51,01,10,2765,18
HOM102603,22:11:54,01,2,2757,17
HOM102603,22:11:57,09,2,2758,17
HOM102603,22:12:00,10,4,2759,17
HOM102603,22:12:03,08,2,2760,17
HOM102603,22:12:06,04,2,2760,17
HOM102603,22:12:09,15,0,2760,17
HOM102603,22:12:12,12,2,2759,17
HOM102603,22:12:15,09,14,2759,17
HOM102603,22:12:18,10,16,2761,17
HOM102603,22:12:21,07,2,2761,17
HOM102603,22:12:24,05,8,2762,17
HOM102603,22:12:27,16,5,2764,17
HOM102603,22:12:30,21,0,2764,17
HOM102603,22:12:33,03,4,2764,17
HOM102603,22:12:36,02,5,2763,17
HOM102603,22:12:39,02,0,2755,17
HOM102603,22:12:42,11,7,2756,17
HOM102603,22:12:45,08,2,2756,17
HOM102603,22:12:48,04,2,2756,17
HOM102603,22:12:51,18,4,2757,17
HOM102603,22:12:54,04,0,2757,17
HOM102603,22:12:57,15,0,2757,17
HOM102603,22:13:00,21,0,2759,17
HOM102603,22:13:03,27,13,2757,17
HOM102603,22:13:06,05,2,2758,17
HOM102603,22:13:09,13,5,2758,17
HOM102603,22:13:12,10,0,2758,17
HOM102603,22:13:15,06,14,2759,17
HOM102603,22:13:18,05,10,2760,17
HOM102603,22:13:21,20,0,2760,17
HOM102603,22:13:24,12,2,2761,17
HOM102603,22:13:27,09,0,2760,17
HOM102603,22:13:30,18,2,2761,17
HOM102603,22:13:33,14,2,2757,17
HOM102603,22:13:36,14,0,2757,17
HOM102603,22:13:39,09,0,2748,17
HOM102603,22:13:42,03,0,2750,17
HOM102603,22:13:45,20,0,2750,17
HOM102603,22:13:48,13,2,2751,17
HOM102603,22:13:51,23,0,2751,17
HOM102603,22:13:54,15,0,2752,17
HOM102603,22:13:57,08,0,2752,17
HOM102603,22:14:00,02,0,2753,17
HOM102603,22:14:03,13,0,2753,17
HOM102603,22:14:06,07,0,2753,17
HOM102603,22:14:08,97,4,2761,17
HOM102603,22:14:12,05,2,2761,17
HOM102603,22:14:15,21,16,2761,17
HOM102603,22:14:18,05,5,2762,17
HOM102603,22:14:20,95,0,2763,17
HOM102603,22:14:24,11,4,2763,17
HOM102603,22:14:27,11,0,2769,18
HOM102603,22:14:30,09,0,2766,18
HOM102603,22:14:33,09,4,2760,17
HOM102603,22:14:36,01,0,2756,17
HOM102603,22:14:39,03,0,2749,17
HOM102603,22:14:42,09,2,2749,17
HOM102603,22:14:44,98,2,2749,17
HOM102603,22:14:48,03,2,2749,17
HOM102603,22:14:51,09,0,2750,17
HOM102603,22:14:53,93,2,2750,17
HOM102603,22:14:56,13,13,2751,17
HOM102603,22:14:59,04,0,2751,17
HOM102603,22:15:02,12,7,2751,17
HOM102603,22:15:05,04,2,2751,17
HOM102603,22:15:08,08,2,2751,17
HOM102603,22:15:11,07,0,2751,17
HOM102603,22:15:14,19,2,2750,17
HOM102603,22:15:17,07,2,2749,17
HOM102603,22:15:20,07,0,2750,17
HOM102603,22:15:23,05,0,2750,17
HOM102603,22:15:26,05,2,2751,17
HOM102603,22:15:29,05,0,2751,17
HOM102603,22:15:32,03,4,2752,17
HOM102603,22:15:35,05,0,2752,17
HOM102603,22:15:38,12,2,2752,17
HOM102603,22:15:41,03,0,2745,17
HOM102603,22:15:44,03,0,2744,17
HOM102603,22:15:47,11,0,2746,17
HOM102603,22:15:50,07,0,2747,17
HOM102603,22:15:53,04,0,2747,17
HOM102603,22:15:56,04,0,2749,17
HOM102603,22:15:59,10,2,2748,17
HOM102603,22:16:02,09,0,2747,17
HOM102603,22:16:05,10,0,2747,17
HOM102603,22:16:08,13,0,2748,17
HOM102603,22:16:11,18,0,2749,17
HOM102603,22:16:14,07,0,2745,17
HOM102603,22:16:17,05,0,2745,17
HOM102603,22:16:20,05,5,2745,17
HOM102603,22:16:23,04,0,2745,17
HOM102603,22:16:26,10,0,2746,17
HOM102603,22:16:29,03,0,2746,17
HOM102603,22:16:32,08,4,2747,17
HOM102603,22:16:35,06,0,2747,17
HOM102603,22:16:38,09,2,2748,17
HOM102603,22:16:41,02,2,2740,17
HOM102603,22:16:44,06,0,2741,17
HOM102603,22:16:47,03,0,2740,17
HOM102603,22:16:50,25,0,2741,17
HOM102603,22:16:53,17,2,2740,17
HOM102603,22:16:56,15,0,2747,17
HOM102603,22:16:59,11,0,2747,17
HOM102603,22:17:02,07,2,2747,17
HOM102603,22:17:05,01,0,2747,17
HOM102603,22:17:08,01,2,2747,17
HOM102603,22:17:11,15,0,2747,17
HOM102603,22:17:14,07,0,2747,17
HOM102603,22:17:17,04,0,2748,17
HOM102603,22:17:20,04,0,2748,17
HOM102603,22:17:23,05,2,2748,17
HOM102603,22:17:26,15,0,2749,17
HOM102603,22:17:29,13,0,2749,17
HOM102603,22:17:32,11,2,2750,17
HOM102603,22:17:35,11,0,2750,17
HOM102603,22:17:38,10,2,2749,17
HOM102603,22:17:41,10,2,2742,17
HOM102603,22:17:43,97,0,2742,17
HOM102603,22:17:47,06,4,2741,17
HOM102603,22:17:50,02,0,2744,17
HOM102603,22:17:53,00,2,2744,17
HOM102603,22:17:56,08,4,2745,17
HOM102603,22:17:59,03,2,2745,17
HOM102603,22:18:02,04,2,2746,17
HOM102603,22:18:05,09,0,2746,17
HOM102603,22:18:08,01,0,2746,17
HOM102603,22:18:11,06,0,2747,17
HOM102603,22:18:13,98,0,2747,17
HOM102603,22:18:17,03,2,2748,17
HOM102603,22:18:20,17,0,2748,17
HOM102603,22:18:23,12,0,2747,17
HOM102603,22:18:26,09,2,2746,17
HOM102603,22:18:29,08,7,2747,17
HOM102603,22:18:32,02,2,2747,17
HOM102603,22:18:35,05,0,2712,17
HOM102603,22:18:38,11,0,2712,17
HOM102603,22:18:41,13,2,2705,17
HOM102603,22:18:43,99,0,2705,17
HOM102603,22:18:47,05,2,2706,17
HOM102603,22:18:50,10,4,2706,17
HOM102603,22:18:52,99,0,2707,17
HOM102603,22:18:55,98,4,2707,17
HOM102603,22:18:58,97,2,2707,17
HOM102603,22:19:02,05,2,2707,17
HOM102603,22:19:05,05,0,2708,17
HOM102603,22:19:08,12,2,2708,17
HOM102603,22:19:11,09,4,2709,17
HOM102603,22:19:14,07,0,2710,17
HOM102603,22:19:17,11,4,2710,17
HOM102603,22:19:20,03,0,2710,17
HOM102603,22:19:23,12,4,2711,17
HOM102603,22:19:26,13,2,2711,17
HOM102603,22:19:29,07,0,2712,17
HOM102603,22:19:32,07,0,2712,17
HOM102603,22:19:35,13,2,2713,17
HOM102603,22:19:38,10,0,2713,17
HOM102603,22:19:41,10,0,2705,17
HOM102603,22:19:44,07,0,2706,17
HOM102603,22:19:47,08,0,2706,17
HOM102603,22:19:50,08,2,2707,17
HOM102603,22:19:53,11,2,2705,17
HOM102603,22:19:56,08,4,2707,17
HOM102603,22:19:58,99,0,2706,17
HOM102603,22:20:02,14,0,2707,17
HOM102603,22:20:05,14,0,2708,17
HOM102603,22:20:08,28,0,2709,17
HOM102603,22:20:11,01,2,2709,17
HOM102603,22:20:14,01,0,2709,17
HOM102603,22:20:17,04,5,2710,17
HOM102603,22:20:20,15,0,2710,17
HOM102603,22:20:23,15,0,2711,17
HOM102603,22:20:26,07,5,2711,17
HOM102603,22:20:29,04,0,2709,17
HOM102603,22:20:32,15,0,2709,17
HOM102603,22:20:35,17,0,2709,17
HOM102603,22:20:38,06,2,2710,17
