PC_NAME,HOUR,CPU_PERCENTAGE,MEMORY,MEMORY_PERCENTAGE
EQUIPO1,17:44:49,30,10492,18
EQUIPO1,17:44:51,18,10490,18
EQUIPO1,17:44:53,24,10489,18
EQUIPO1,17:44:55,21,10489,18
EQUIPO1,17:44:57,21,10489,18
EQUIPO1,17:44:59,22,10490,18
EQUIPO1,17:45:01,22,10490,18
EQUIPO1,17:45:04,10,10489,18
EQUIPO1,17:45:06,11,10489,18
EQUIPO1,17:45:08,18,10490,18
EQUIPO1,17:45:10,18,10491,18
EQUIPO1,17:45:12,15,10491,18
EQUIPO1,17:45:14,24,10491,18
EQUIPO1,17:45:16,15,10492,18
EQUIPO1,17:45:18,22,10492,18
EQUIPO1,17:45:20,16,10493,18
EQUIPO1,17:45:22,19,10497,18
EQUIPO1,17:45:24,36,10539,18
EQUIPO1,17:45:26,12,10537,18
EQUIPO1,17:45:28,19,10538,18
EQUIPO1,17:45:30,18,10537,18
EQUIPO1,17:45:32,29,10537,18
EQUIPO1,17:45:34,16,10536,18
EQUIPO1,17:45:36,21,10537,18
EQUIPO1,17:45:38,18,10539,18
EQUIPO1,17:45:40,16,10509,18
EQUIPO1,17:45:42,16,10507,18
EQUIPO1,17:45:44,18,10505,18
EQUIPO1,17:45:46,16,10504,18
EQUIPO1,17:45:48,26,10503,18
EQUIPO1,17:45:50,13,10502,18
EQUIPO1,17:45:52,16,10501,18
EQUIPO1,17:45:54,16,10501,18
EQUIPO1,17:45:56,15,10501,18
EQUIPO1,17:45:58,15,10501,18
EQUIPO1,17:46:00,19,10503,18
EQUIPO1,17:46:03,15,10502,18
EQUIPO1,17:46:06,13,10502,18
EQUIPO1,17:46:08,13,10501,18
EQUIPO1,17:46:12,18,10501,18
EQUIPO1,17:46:15,41,10618,19
EQUIPO1,17:46:17,33,10692,19
EQUIPO1,17:46:20,40,10729,19
EQUIPO1,17:46:22,16,10719,19
EQUIPO1,17:46:24,16,10712,19
EQUIPO1,17:46:26,13,10703,19
