PC_NAME,HOUR,CPU_PERCENTAGE,MEMORY,MEMORY_PERCENTAGE 
DESKTOP-O325S3M,19:21:25,5,3747,52
DESKTOP-O325S3M,19:21:28,18,3743,52
DESKTOP-O325S3M,19:21:31,5,3744,52
DESKTOP-O325S3M,19:21:34,22,3744,52
DESKTOP-O325S3M,19:21:37,27,3764,52
DESKTOP-O325S3M,19:21:40,12,3764,52
DESKTOP-O325S3M,19:21:43,13,3764,52
DESKTOP-O325S3M,19:21:46,6,3757,52
DESKTOP-O325S3M,19:21:49,4,3758,52
DESKTOP-O325S3M,19:21:52,5,3755,52
DESKTOP-O325S3M,19:21:55,16,3755,52
DESKTOP-O325S3M,19:21:58,10,3756,52
DESKTOP-O325S3M,19:22:01,19,3756,52
DESKTOP-O325S3M,19:22:04,17,3757,52
DESKTOP-O325S3M,19:22:07,7,3758,52
DESKTOP-O325S3M,19:22:10,18,3757,52
DESKTOP-O325S3M,19:22:13,8,3757,52
DESKTOP-O325S3M,19:22:16,13,3759,52
DESKTOP-O325S3M,19:22:19,31,3759,52
DESKTOP-O325S3M,19:22:22,15,3761,52
DESKTOP-O325S3M,19:22:25,14,3761,52
DESKTOP-O325S3M,19:22:28,14,3762,52
DESKTOP-O325S3M,19:22:31,2,3761,52
DESKTOP-O325S3M,19:22:34,15,3762,52
DESKTOP-O325S3M,19:22:37,5,3762,52
DESKTOP-O325S3M,19:22:40,2,3762,52
DESKTOP-O325S3M,19:22:43,12,3764,52
DESKTOP-O325S3M,19:22:46,4,3764,52
DESKTOP-O325S3M,19:22:49,7,3765,52
DESKTOP-O325S3M,19:22:52,25,3771,52
DESKTOP-O325S3M,19:22:55,10,3771,52
DESKTOP-O325S3M,19:22:58,4,3771,52
DESKTOP-O325S3M,19:23:01,4,3772,52
DESKTOP-O325S3M,19:23:04,27,3773,52
DESKTOP-O325S3M,19:23:07,4,3774,52
DESKTOP-O325S3M,19:23:10,44,3776,52
DESKTOP-O325S3M,19:23:13,10,3776,52
DESKTOP-O325S3M,19:23:16,44,3777,52
DESKTOP-O325S3M,19:23:19,9,3778,52
DESKTOP-O325S3M,19:23:22,5,3778,52
DESKTOP-O325S3M,19:23:25,16,3779,52
DESKTOP-O325S3M,19:23:28,6,3779,52
DESKTOP-O325S3M,19:23:31,17,3780,52
DESKTOP-O325S3M,19:23:34,5,3781,52
DESKTOP-O325S3M,19:23:37,36,3811,53
DESKTOP-O325S3M,19:23:40,23,3814,53
DESKTOP-O325S3M,19:23:43,3,3814,53
DESKTOP-O325S3M,19:23:46,18,3814,53
DESKTOP-O325S3M,19:23:49,1,3818,53
DESKTOP-O325S3M,19:23:52,4,3818,53
DESKTOP-O325S3M,19:23:55,11,3797,52
DESKTOP-O325S3M,19:23:58,2,3795,52
DESKTOP-O325S3M,19:24:01,13,3797,52
DESKTOP-O325S3M,19:24:04,7,3799,52
DESKTOP-O325S3M,19:24:07,6,3799,52
DESKTOP-O325S3M,19:24:10,21,3799,52
DESKTOP-O325S3M,19:24:13,8,3800,53
DESKTOP-O325S3M,19:24:16,13,3801,53
DESKTOP-O325S3M,19:24:19,1,3802,53
DESKTOP-O325S3M,19:24:22,8,3802,53
DESKTOP-O325S3M,19:24:25,6,3803,53
DESKTOP-O325S3M,19:24:28,13,3804,53
DESKTOP-O325S3M,19:24:31,27,3805,53
DESKTOP-O325S3M,19:24:34,8,3804,53
DESKTOP-O325S3M,19:24:37,21,3804,53
DESKTOP-O325S3M,19:24:40,19,3804,53
DESKTOP-O325S3M,19:24:43,4,3804,53
DESKTOP-O325S3M,19:24:46,21,3805,53
DESKTOP-O325S3M,19:24:49,22,3805,53
DESKTOP-O325S3M,19:24:52,2,3805,53
DESKTOP-O325S3M,19:24:55,2,3806,53
DESKTOP-O325S3M,19:24:58,18,3805,53
DESKTOP-O325S3M,19:25:01,8,3805,53
DESKTOP-O325S3M,19:25:04,1,3806,53
DESKTOP-O325S3M,19:25:07,15,3806,53
DESKTOP-O325S3M,19:25:10,2,3806,53
DESKTOP-O325S3M,19:25:13,4,3806,53
DESKTOP-O325S3M,19:25:16,17,3806,53
DESKTOP-O325S3M,19:25:19,3,3806,53
DESKTOP-O325S3M,19:25:22,2,3806,53
DESKTOP-O325S3M,19:25:25,5,3806,53
DESKTOP-O325S3M,19:25:28,8,3809,53
DESKTOP-O325S3M,19:25:31,3,3809,53
DESKTOP-O325S3M,19:25:34,2,3810,53
DESKTOP-O325S3M,19:25:37,19,3811,53
DESKTOP-O325S3M,19:25:40,10,3811,53
DESKTOP-O325S3M,19:25:43,1,3811,53
DESKTOP-O325S3M,19:25:46,7,3809,53
